draw_date,n1,n2,n3,n4,n5,powerball,multiplier
2023-05-05,16,18,28,42,43,11,3
2023-05-09,4,37,46,48,51,19,3
2023-05-12,1,2,23,40,45,15,3
2023-05-16,15,34,36,69,70,17,3
2023-05-19,5,11,41,44,55,14,2
2023-05-23,3,10,22,65,66,19,2
2023-05-26,12,20,37,41,64,1,3
2023-05-30,13,16,40,64,68,21,2
2023-06-02,3,16,19,36,60,25,2
2023-06-06,6,12,23,29,57,4,2
2023-06-09,3,19,53,60,68,13,3
2023-06-13,8,10,19,44,47,4,4
2023-06-16,4,24,34,45,57,19,3
2023-06-20,6,37,39,45,46,21,4
2023-06-23,13,62,65,67,69,14,5
2023-06-27,8,34,35,41,52,12,4
2023-06-30,13,22,47,51,55,9,3
2023-07-04,21,33,54,61,67,12,3
2023-07-07,8,10,17,55,66,3,3
2023-07-11,10,17,33,51,64,5,2
2023-07-14,10,24,48,51,66,15,2
2023-07-18,19,22,31,37,54,18,4
2023-07-21,29,40,47,50,57,25,2
2023-07-25,3,5,6,44,61,25,4
2023-07-28,5,10,28,52,63,18,5
2023-08-01,8,24,30,45,61,12,4
2023-08-04,11,30,45,52,56,20,2
2023-08-08,13,19,20,32,33,14,2
2023-08-11,8,9,18,35,41,18,3
2023-08-15,18,39,42,57,63,7,3
2023-08-18,10,20,29,44,66,11,3
2023-08-22,1,12,26,36,50,7,2
2023-08-25,12,23,26,31,38,2,2
2023-08-29,9,39,52,61,63,25,3
2023-09-01,10,31,42,43,55,8,2
2023-09-05,3,43,50,51,65,13,2
2023-09-08,3,12,17,51,62,1,3
2023-09-12,2,14,21,42,67,18,5
2023-09-15,5,13,29,50,53,25,3
2023-09-19,6,9,13,29,66,24,2
2023-09-22,10,13,14,57,66,3,2
2023-09-26,15,30,35,42,60,16,4
2023-09-29,18,40,47,55,64,11,4
2023-10-03,3,19,32,39,59,24,3
2023-10-06,12,24,46,57,66,22,3
2023-10-10,3,8,17,46,63,7,4
2023-10-13,6,18,44,46,68,18,3
2023-10-17,5,6,29,32,61,20,4
2023-10-20,7,29,36,49,61,22,4
2023-10-24,16,20,30,54,59,7,3
2023-10-27,11,32,43,57,70,6,4
2023-10-31,14,35,37,55,70,15,3
2023-11-03,15,32,38,47,65,12,4
2023-11-07,3,11,33,42,52,20,2
2023-11-10,13,33,59,68,70,8,3
2023-11-14,29,35,59,61,69,22,4
2023-11-17,6,12,31,33,69,17,3
2023-11-21,17,22,25,30,38,24,4
2023-11-24,6,15,45,59,68,1,4
2023-11-28,27,37,42,59,61,11,3
2023-12-01,12,47,49,52,65,12,4
2023-12-05,18,35,40,64,67,18,4
2023-12-08,21,26,53,66,70,13,3
2023-12-12,8,23,44,45,53,3,4
2023-12-15,10,20,28,40,54,12,2
2023-12-19,17,26,50,58,61,11,3
2023-12-22,10,26,36,54,69,4,4
2023-12-26,8,10,22,58,64,21,3
2023-12-29,11,27,30,62,70,10,3
2024-01-02,3,18,27,29,64,1,2
2024-01-05,5,23,26,38,44,25,3
2024-01-09,12,15,32,33,53,24,3
2024-01-12,19,34,35,45,67,7,3
2024-01-16,2,10,42,49,54,13,2
2024-01-19,1,9,16,17,30,17,2
2024-01-23,21,28,58,69,70,20,2
2024-01-26,14,31,34,50,61,13,3
2024-01-30,3,5,16,58,59,11,4
2024-02-02,11,22,42,64,69,18,3
2024-02-06,2,10,31,44,57,10,4
2024-02-09,17,22,29,46,69,1,3
